sous_famille,famille,sous_famille_code,sequence,propriete,propriete_description,raw_unit,resolved_uom,is_major_default,valeurs_possibles,statut,source,masque_description_erp
IN-TE,IN,TE,5,RAC,Raccordement,,,0,,Validé terrain,Eddy,SONDE TEMPERATURE [Type: PT100/TC-K] L=[Longueur] Ø[Tige]
IN-TH,IN,TH,1,TCO,Type de couple,,,1,,Validé terrain,Eddy,THERMOCOUPLE [Type: K/J/T] [Longueur Gaine] [Raccordement]
IN-TH,IN,TH,2,LGA,Longueur gaine,mm,Millimeter,0,,Validé terrain,Eddy,THERMOCOUPLE [Type: K/J/T] [Longueur Gaine] [Raccordement]
IN-TH,IN,TH,3,DGA,Diamètre gaine,mm,Millimeter,0,,Validé terrain,Eddy,THERMOCOUPLE [Type: K/J/T] [Longueur Gaine] [Raccordement]
IN-TH,IN,TH,4,RAC,Raccordement,,,0,,Validé terrain,Eddy,THERMOCOUPLE [Type: K/J/T] [Longueur Gaine] [Raccordement]
IN-TH,IN,TH,5,FAB,Fabricant,,,0,,Validé terrain,Eddy,THERMOCOUPLE [Type: K/J/T] [Longueur Gaine] [Raccordement]
IN-VA,IN,VA,1,TAL,Type alimentation,,,0,,Validé terrain,Eddy,"VARIATEUR VITESSE [Type: MONO, TRIPHASE] [Puissance/kW]  [Mode: Réseau/Simple][Fabricant]"
IN-VA,IN,VA,2,PMM,Puissance moteur max supportée,kW,Kilowatt,1,,Validé terrain,Eddy,"VARIATEUR VITESSE [Type: MONO, TRIPHASE] [Puissance/kW]  [Mode: Réseau/Simple][Fabricant]"
IN-VA,IN,VA,3,MOD,Mode,,,0,,Validé terrain,Eddy,"VARIATEUR VITESSE [Type: MONO, TRIPHASE] [Puissance/kW]  [Mode: Réseau/Simple][Fabricant]"
IN-VA,IN,VA,4,TEN,Tension,Volt,,0,,Validé terrain,Eddy,"VARIATEUR VITESSE [Type: MONO, TRIPHASE] [Puissance/kW]  [Mode: Réseau/Simple][Fabricant]"
IN-VA,IN,VA,5,FAB,Fabricant,,,0,,Validé terrain,Eddy,"VARIATEUR VITESSE [Type: MONO, TRIPHASE] [Puissance/kW]  [Mode: Réseau/Simple][Fabricant]"
ME-CH,ME,CH,1,TYPE,Type,,,0,,Validé terrain,lokoli,CHAINE ROULEAUX [Pas] [Type: SIMPLEX/DUPLEX] L=[Nbr Maillons/Longueur en mm]
ME-CH,ME,CH,2,PAS,Pas de la chaîne,mm,Millimeter,1,,Validé terrain,lokoli,CHAINE ROULEAUX [Pas] [Type: SIMPLEX/DUPLEX] L=[Nbr Maillons/Longueur en mm]
ME-CH,ME,CH,3,NBM,Nbr maillons,Nos,Nos,0,,Validé terrain,lokoli,CHAINE ROULEAUX [Pas] [Type: SIMPLEX/DUPLEX] L=[Nbr Maillons/Longueur en mm]
ME-CH,ME,CH,4,LON,Longueur,mm,Millimeter,0,,Validé terrain,lokoli,CHAINE ROULEAUX [Pas] [Type: SIMPLEX/DUPLEX] L=[Nbr Maillons/Longueur en mm]
ME-CH,ME,CH,5,STD,Standard / matière,,,0,,Validé terrain,lokoli,CHAINE ROULEAUX [Pas] [Type: SIMPLEX/DUPLEX] L=[Nbr Maillons/Longueur en mm]
ME-CO,ME,CO,1,TPR,Type / profil,,,0,,Validé terrain,lokoli,COURROIE [Type: Profil(TRAP/DENT/plate)] [dimension: L=[Longueurx epaisseur  en mm]
ME-CO,ME,CO,2,LPR,Longueur primitive,mm,Millimeter,1,,Validé terrain,lokoli,COURROIE [Type: Profil(TRAP/DENT/plate)] [dimension: L=[Longueurx epaisseur  en mm]
ME-CO,ME,CO,3,LEP,Largeur / épaisseur,mm,Millimeter,0,,Validé terrain,lokoli,COURROIE [Type: Profil(TRAP/DENT/plate)] [dimension: L=[Longueurx epaisseur  en mm]
ME-CO,ME,CO,4,PDE,Pas / denture,,,0,,Validé terrain,lokoli,COURROIE [Type: Profil(TRAP/DENT/plate)] [dimension: L=[Longueurx epaisseur  en mm]
ME-CO,ME,CO,5,MAT,Matière,,,0,,Validé terrain,lokoli,COURROIE [Type: Profil(TRAP/DENT/plate)] [dimension: L=[Longueurx epaisseur  en mm]
ME-EN,ME,EN,1,TYPE,Type,,,0,,Validé terrain,lokoli,ENGRENAGE [Type: DROIT/HELIC] [Module]  [Ø exterieur/Matière][Ø Alésage/Matière]
ME-EN,ME,EN,2,NDR,Nombre de dents / rapport,Nos / ratio,,1,,Validé terrain,lokoli,ENGRENAGE [Type: DROIT/HELIC] [Module]  [Ø exterieur/Matière][Ø Alésage/Matière]
ME-EN,ME,EN,3,MODU,Module,,,0,,Validé terrain,lokoli,ENGRENAGE [Type: DROIT/HELIC] [Module]  [Ø exterieur/Matière][Ø Alésage/Matière]
ME-EN,ME,EN,4,DIM,Dimensions,mm,Millimeter,0,,Validé terrain,lokoli,ENGRENAGE [Type: DROIT/HELIC] [Module]  [Ø exterieur/Matière][Ø Alésage/Matière]
ME-EN,ME,EN,5,MAT,Matière,,,0,,Validé terrain,lokoli,ENGRENAGE [Type: DROIT/HELIC] [Module]  [Ø exterieur/Matière][Ø Alésage/Matière]
ME-JO,ME,JO,1,TYPE,Type,,,0,,Validé terrain,lokoli,JOINT [Type: SPI/O-RING/LEVRE] [Dimensions: IntXExtXEp] [Matière: NBR/FKM]
ME-JO,ME,JO,2,DIA,Diamètre,mm,Millimeter,1,,Validé terrain,lokoli,JOINT [Type: SPI/O-RING/LEVRE] [Dimensions: IntXExtXEp] [Matière: NBR/FKM]
ME-JO,ME,JO,3,DIM,Dimensions,mm,Millimeter,0,,Validé terrain,lokoli,JOINT [Type: SPI/O-RING/LEVRE] [Dimensions: IntXExtXEp] [Matière: NBR/FKM]
ME-JO,ME,JO,4,MAT,Matière,,,0,,Validé terrain,lokoli,JOINT [Type: SPI/O-RING/LEVRE] [Dimensions: IntXExtXEp] [Matière: NBR/FKM]
ME-JO,ME,JO,5,USG,Profil / usage,,,0,,Validé terrain,lokoli,JOINT [Type: SPI/O-RING/LEVRE] [Dimensions: IntXExtXEp] [Matière: NBR/FKM]
ME-RO,ME,RO,1,TYPE,Type,,,0,,Validé terrain,lokoli,ROULEMENT [Type: BILLES/ROULEAUX] [Série/Réf] Ø[Intérieur]XØ[Extérieur]X[Épaisseur] [Flasque/Jeu]
ME-RO,ME,RO,2,DIAI,Diamètre intérieur / alésage,mm,Millimeter,1,,Validé terrain,lokoli,ROULEMENT [Type: BILLES/ROULEAUX] [Série/Réf] Ø[Intérieur]XØ[Extérieur]X[Épaisseur] [Flasque/Jeu]
ME-RO,ME,RO,3,SR,Série / référence,,,0,,Validé terrain,lokoli,ROULEMENT [Type: BILLES/ROULEAUX] [Série/Réf] Ø[Intérieur]XØ[Extérieur]X[Épaisseur] [Flasque/Jeu]
ME-RO,ME,RO,4,DIAE,Diamètre extérieur,mm,Millimeter,0,,Validé terrain,lokoli,ROULEMENT [Type: BILLES/ROULEAUX] [Série/Réf] Ø[Intérieur]XØ[Extérieur]X[Épaisseur] [Flasque/Jeu]
ME-RO,ME,RO,5,EPJ,Épaisseur / protection-jeu,mm / sans unité,,0,,Validé terrain,lokoli,ROULEMENT [Type: BILLES/ROULEAUX] [Série/Réf] Ø[Intérieur]XØ[Extérieur]X[Épaisseur] [Flasque/Jeu]
