item_code,sequence,propriete,valeur,unite,is_major,famille,sous_famille
100800137,4,ALIM,,,0,EE,EE-CP
100800137,5,PLG,,,0,EE,EE-CP
100800138,1,TYPE,,,1,CS,CS-MS
100800138,2,CAP,,,0,CS,CS-MS
100800138,3,CLS,,,0,CS,CS-MS
100800138,4,DIM,,Millimeter,0,CS,CS-MS
100800138,5,NOR,,,0,CS,CS-MS
100800140,1,TCP,,,0,EE,EE-CP
100800140,2,SIG,,,1,EE,EE-CP
100800140,3,RAC,,,0,EE,EE-CP
100800140,4,ALIM,,,0,EE,EE-CP
100800140,5,PLG,,,0,EE,EE-CP
100800141,1,TCP,,,0,EE,EE-CP
100800141,2,SIG,,,1,EE,EE-CP
100800141,3,RAC,,,0,EE,EE-CP
100800141,4,ALIM,,,0,EE,EE-CP
100800141,5,PLG,,,0,EE,EE-CP
100800143,1,TYPE,,,0,HY,HY-FI
100800143,2,SEU,,Micrometer,1,HY,HY-FI
100800143,3,RAC,,,0,HY,HY-FI
100800143,4,DEB,,,0,HY,HY-FI
100800143,5,FAB,,,0,HY,HY-FI
100800146,1,TYPE,,,0,HY,HY-FI
100800146,2,SEU,,Micrometer,1,HY,HY-FI
100800146,3,RAC,,,0,HY,HY-FI
100800146,4,DEB,,,0,HY,HY-FI
100800146,5,FAB,,,0,HY,HY-FI
100800147,1,TYPE,,,0,HY,HY-FI
100800147,2,SEU,,Micrometer,1,HY,HY-FI
100800147,3,RAC,,,0,HY,HY-FI
100800147,4,DEB,,,0,HY,HY-FI
100800147,5,FAB,,,0,HY,HY-FI
100800148,1,TYPE,,,0,HY,HY-FI
100800148,2,SEU,,Micrometer,1,HY,HY-FI
100800148,3,RAC,,,0,HY,HY-FI
100800148,4,DEB,,,0,HY,HY-FI
100800148,5,FAB,,,0,HY,HY-FI
100800149,1,TCO,,,1,IN,IN-TH
100800149,2,LGA,,Millimeter,0,IN,IN-TH
100800149,3,DGA,,Millimeter,0,IN,IN-TH
100800149,4,RAC,,,0,IN,IN-TH
100800149,5,FAB,,,0,IN,IN-TH
100800150,1,TYPE,,,1,CS,CS-GC
100800150,2,GRA,,,0,CS,CS-GC
100800150,3,CND,,,0,CS,CS-GC
100800150,4,APP,,,0,CS,CS-GC
100800150,5,FAB,,,0,CS,CS-GC
100800152,1,TYPE,,,0,HY,HY-FI
100800152,2,SEU,,Micrometer,1,HY,HY-FI
100800152,3,RAC,,,0,HY,HY-FI
100800152,4,DEB,,,0,HY,HY-FI
100800152,5,FAB,,,0,HY,HY-FI
100800158,1,TCO,,,1,IN,IN-TH
100800158,2,LGA,,Millimeter,0,IN,IN-TH
100800158,3,DGA,,Millimeter,0,IN,IN-TH
100800158,4,RAC,,,0,IN,IN-TH
100800158,5,FAB,,,0,IN,IN-TH
100800160,1,TCO,,,1,IN,IN-TH
100800160,2,LGA,,Millimeter,0,IN,IN-TH
100800160,3,DGA,,Millimeter,0,IN,IN-TH
100800160,4,RAC,,,0,IN,IN-TH
100800160,5,FAB,,,0,IN,IN-TH
100800161,1,TCO,,,1,IN,IN-TH
100800161,2,LGA,,Millimeter,0,IN,IN-TH
100800161,3,DGA,,Millimeter,0,IN,IN-TH
100800161,4,RAC,,,0,IN,IN-TH
100800161,5,FAB,,,0,IN,IN-TH
100800162,1,TCO,,,1,IN,IN-TH
100800162,2,LGA,,Millimeter,0,IN,IN-TH
100800162,3,DGA,,Millimeter,0,IN,IN-TH
100800162,4,RAC,,,0,IN,IN-TH
100800162,5,FAB,,,0,IN,IN-TH
